id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width
1274,Baptism of Saint Zenobius,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Zenobius%20London.jpg,Sandro Botticelli,1500,panel,National Gallery,National Gallery,Unknown,66.7,149.2
868,The Anger of Achilles,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20The%20Anger%20of%20Achilles%20-%20Google%20Art%20Project.jpg,Jacques-Louis David,1819,canvas,Kimbell Art Museum,Kimbell Art Museum,Unknown,105.3,145
67,Mademoiselle Caroline Rivière,http://commons.wikimedia.org/wiki/Special:FilePath/Mademoiselle%20Caroline%20Rivi%C3%A8re%20-%20Jean-Auguste-Dominique%20Ingres%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20MI%201447.jpg,Jean-Auguste-Dominique Ingres,1806,canvas,Department of Paintings of the Louvre,Room 702,Unknown,100,70
965,Biagio Milanesi,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20cat58a.jpg,Pietro Perugino,1500,panel,Uffizi Gallery,Uffizi Gallery,Unknown,28,26
68,The Stonebreaker,http://commons.wikimedia.org/wiki/Special:FilePath/Wallis%20The%20Stonebreaker.jpg,Henry Wallis,1857,panel,Birmingham Museums Trust,Birmingham Museum and Art Gallery,Unknown,65.4,78.7
486,The Anatomy Lesson of Dr. Nicolaes Tulp,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20-%20The%20Anatomy%20Lesson%20of%20Dr%20Nicolaes%20Tulp.jpg,Rembrandt,1632,canvas,Mauritshuis,Mauritshuis,Unknown,169.5,216.5
212,Portrait of Cardinal Niccolò Albergati,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20van%20Eyck%20-%20Kardinal%20Niccol%C3%B2%20Albergati%20-%20Google%20Art%20Project.jpg,Jan van Eyck,1438,oak panel,Kunsthistorisches Museum,Kunsthistorisches Museum,Unknown,34,27.5
13,Mademoiselle V. . . in the Costume of an Espada,http://commons.wikimedia.org/wiki/Special:FilePath/Mademoiselle%20V.%20.%20.%20in%20the%20Costume%20of%20an%20Espada%20MET%20DT859.jpg,Édouard Manet,1862,canvas,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,165.1,127.6
619,Christ Giving the Keys to St. Peter,http://commons.wikimedia.org/wiki/Special:FilePath/Christ%20giving%20the%20Keys%20of%20Heaven%20to%20St.%20Peter%20by%20Peter%20Paul%20Rubens%20-%20Gem%C3%A4ldegalerie%20-%20Berlin%20-%20Germany%202017.jpg,Peter Paul Rubens,1612,canvas,Church of Our Lady of the Chapel,Gemäldegalerie Berlin,Unknown,182.6,159
1037,View of the Village,http://commons.wikimedia.org/wiki/Special:FilePath/Bazille%2C%20Fr%C3%A9d%C3%A9ric%20~%20View%20of%20the%20Village%2C%201868.jpg,Frédéric Bazille,1868,canvas,Musée Fabre,Musée Fabre,Unknown,137.5,85
